iter	Passed	Remaining
400	26877	40148
401	26937	40071
402	26988	39981
403	27046	39899
404	27105	39821
405	27177	39762
406	27239	39687
407	27312	39630
408	27377	39560
409	27437	39482
410	27507	39420
411	27568	39345
412	27635	39278
413	27690	39194
414	27744	39109
415	27812	39044
416	27867	38961
417	27928	38885
418	27983	38803
419	28060	38750
420	28112	38663
421	28172	38587
422	28225	38501
423	28288	38429
424	28355	38363
425	28421	38295
426	28485	38225
427	28545	38149
428	28623	38097
429	28699	38043
430	28755	37962
431	28819	37892
432	28877	37814
433	28945	37748
434	29005	37673
435	29064	37596
436	29115	37510
437	29183	37445
438	29248	37377
439	29315	37310
440	29381	37243
441	29440	37166
442	29506	37100
443	29575	37035
444	29638	36965
445	29705	36898
446	29756	36812
447	29821	36744
448	29877	36665
449	29943	36598
450	30015	36537
451	30094	36486
452	30158	36416
453	30211	36334
454	30272	36260
455	30337	36192
456	30406	36128
457	30463	36050
458	30534	35989
459	30600	35921
460	30665	35853
461	30727	35781
462	30788	35709
463	30855	35643
464	30917	35571
465	30986	35507
466	31052	35440
467	31118	35373
468	31193	35316
469	31249	35239
470	31314	35170
471	31386	35109
472	31447	35038
473	31503	34959
474	31573	34896
475	31628	34817
476	31689	34745
477	31756	34680
478	31811	34601
479	31876	34533
480	31947	34471
481	32013	34404
482	32074	34332
483	32132	34256
484	32190	34181
485	32242	34100
486	32306	34031
487	32370	33961
488	32434	33893
489	32487	33814
490	32548	33741
491	32625	33686
492	32680	33609
493	32739	33534
494	32794	33457
495	32850	33379
496	32912	33309
497	32966	33231
498	33034	33167
499	33095	33095
500	33157	33025
501	33217	32952
502	33270	32873
503	33330	32801
504	33380	32719
505	33448	32655
506	33504	32579
507	33574	32516
508	33629	32439
509	33692	32370
510	33757	32303
511	33820	32235
512	33877	32160
513	33947	32098
514	34001	32020
515	34056	31944
516	34110	31867
517	34163	31789
518	34231	31724
519	34293	31655
520	34361	31591
521	34418	31516
522	34479	31446
523	34534	31371
524	34588	31294
525	34648	31222
526	34705	31149
527	34767	31080
528	34838	31018
529	34951	30994
530	35021	30932
531	35078	30858
532	35138	30787
533	35201	30718
534	35282	30666
535	35363	30613
536	35426	30544
537	35501	30486
538	35565	30418
539	35626	30348
540	35686	30277
541	35754	30213
542	35818	30145
543	35884	30079
544	35944	30009
545	36026	29956
546	36083	29882
547	36151	29818
548	36235	29767
549	36313	29711
550	36389	29653
551	36449	29582
552	36513	29514
553	36565	29436
554	36628	29369
555	36701	29308
556	36774	29247
557	36831	29174
558	36898	29109
559	36986	29060
560	37046	28990
561	37105	28918
562	37182	28860
563	37266	28808
564	37338	28747
565	37406	28682
566	37472	28616
567	37529	28543
568	37589	28472
569	37652	28404
570	37728	28346
571	37794	28279
572	37855	28209
573	37910	28135
574	37967	28063
575	38030	27994
576	38103	27933
577	38171	27869
578	38241	27806
579	38305	27738
580	38375	27675
581	38453	27617
582	38517	27550
583	38582	27483
584	38637	27409
585	38690	27334
586	38748	27262
587	38813	27195
588	38872	27125
589	38928	27051
590	38992	26984
591	39055	26916
592	39116	26847
593	39173	26775
594	39235	26706
595	39356	26677
596	39453	26632
597	39537	26578
598	39598	26509
599	39660	26440
600	39725	26373
601	39788	26305
602	39850	26236
603	39908	26164
604	39967	26094
605	40025	26023
606	40082	25950
607	40155	25889
608	40211	25817
609	40272	25747
610	40338	25682
611	40404	25615
612	40470	25549
613	40530	25479
614	40596	25413
615	40655	25343
616	40712	25272
617	40772	25202
618	40826	25129
619	40886	25059
620	40953	24994
621	41022	24929
622	41090	24865
623	41147	24794
624	41202	24721
625	41269	24656
626	41324	24583
627	41376	24509
628	41435	24439
629	41507	24377
630	41585	24318
631	41645	24249
632	41710	24182
633	41763	24109
634	41825	24041
635	41873	23965
636	41933	23896
637	41984	23821
638	42034	23747
639	42093	23677
640	42154	23609
641	42225	23546
642	42281	23474
643	42339	23405
644	42401	23337
645	42456	23265
646	42523	23200
647	42593	23137
648	42654	23068
649	42715	23000
650	42774	22931
651	42836	22863
652	42890	22791
653	42950	22723
654	43002	22650
655	43067	22584
656	43118	22511
657	43181	22443
658	43248	22379
659	43305	22308
660	43367	22241
661	43423	22170
662	43483	22102
663	43542	22033
664	43595	21961
665	43648	21889
666	43705	21820
667	43768	21753
668	43818	21679
669	43877	21611
