iter	Logloss
0	0.6703711263
1	0.650151067
22	0.63209306513	0.608676562
4	4	0.5951364705	0.575865426
6	0.5562256009
7	0.5425821909
8	0.5192086517
9	0.5064156005
10	0.4870696841
11	0.4717769955
12	0.4573807733
13	0.4386202121
14	0.4177004509
15	0.405812196
1616	0.38996936617	0.3823314953
1818	0.37455598719	0.3661910879
2020	0.3572245722121	0.3502757262222	0.3441266202323	0.3350233462424	0.3294344442525	0.3209479522626	0.3171214362727	0.3091346622828	0.2987425652929	0.2893106543030	0.2850624513131	0.2798005713232	0.2706348153333	0.2635860234	34	0.2591808135	35	0.2543994636	36	0.2504820737	37	0.246352863838	0.2425051823939	0.2397289454040	0.2351144234141	0.2303217564242	0.2268589784343	0.2237976764444	0.2214259354545	0.2184564934646	0.2165445424747	0.2138439604848	0.2121657854949	0.2092506825050	0.2071697485151	0.2055806565252	0.2028233925353	0.2010665545454	0.1993271555555	0.1977619565656	0.196516857	057	0.1954779585858	0.1929343595959	0.191509460660	0.1905123461661	0.1883793872
62	0.1872788969
63	0.1865277045
64	0.1847686893665	0.1834257353666	0.1811378767	67	0.1799372368	68	0.1787549469	69	0.177771897070	0.1768920847171	0.1756699977272	0.1744478011
73	0.172849755
74	0.1722340274
75	0.1711947504
76	0.1695160929777	0.1687859943778	0.1681517477779	0.1673084798080	0.1666777178181	0.1661476978282	0.1652997878383	0.1649297778484	0.1646046438585	0.1640111958686	0.1633815904
87	0.1628706238888	0.1621194113
89	0.1619301259090	0.1614110239191	0.1611919089292	0.1609600579393	0.1603839319494	0.1595330609595	0.159064407
96	0.1588980704
97	0.1586807398
98	0.1582657225
99	0.1577592751
100	0.1576043124
101	0.1573093991
102	0.1565645718
103	0.1561463281
104	0.1559590711
105	0.1556445799
106	0.155498477
107	0.1551382464
108	0.1543595189
109	0.1541538595
110	0.1535528002
111	0.1534465717
112	0.1531599931
113	0.1527630389
114	0.1524333126
115	0.151855749
116	0.1517465586
117	0.1514336414
118	0.1512784019
119	0.1507787989
120	0.1501347254
121	0.1499114718
122	0.1497848264
123	0.1491792882
124	0.1489900977
1125	0.1454521218
126	0.1452039234
127	0.1448927425
128	0.1445985009
129	0.1444721738
130	0.1443772508
131	0.1438920531
132	0.1436802685
133	0.1435442513
134	0.1431519504
135	0.1428779452
136	0.142517431
137	0.1424145216
138	0.1422412444
139	0.141984811
140	0.1418394406
141	0.141708793
142	0.1414575513
143	0.1413529603
144	0.1412674373
145	0.1411497372
146	0.1408440828
147	0.1406856934
148	0.1403443297
149	0.1402289362
150	0.1399619869
151	0.1398580554
152	0.1393590483
153	0.1392590909
154	0.1391086592
155	0.138762474
156	0.1386707773
157	0.1385885707
158	0.1385166119
159	0.1383254558
160	0.1379976563
161	0.1379100525
162	0.1378029701
163	0.137718784
164	0.1375404438
165	0.1374661276
166	0.1373558176
167	0.1372353061
168	0.1371386376
169	0.1367958971
170	0.1367153469
171	0.1366202308
172	0.1360743748
173	0.1359198549
174	0.1357384322
175	0.1356188732
176	0.1354128603
177	0.1353278954
178	0.1351339242
179	0.1348528279
180	0.1347508168
181	0.1346398351
182	0.1345433972
183	0.1343685454
184	0.1340304297
185	0.1339175533
186	0.13382733
187	0.1337548826
188	0.133673198
189	0.133536904
190	0.1333129734
191	0.1328960606
192	0.1327855762
193	0.1326388185
194	0.1325864186
195	0.132494946
196	0.132270394
197	0.132181575
198	0.1318821562
199	0.1317926116
200	0.1317343037
201	0.1314817994
202	0.1313997162
203	0.1313144301
204	0.1311177616
205	0.1308141867
206	0.130723442
207	0.1306321362
